seed,gate,encoding,stiffness,size,fitness_gen_100
0,XOR,stiffness,True,False,0.2287255487801259
1,XOR,stiffness,True,False,0.14623595432131967
2,XOR,stiffness,True,False,0.14764881055782575
3,XOR,stiffness,True,False,0.23175141422826717
4,XOR,stiffness,True,False,0.13458485759967184
5,XOR,stiffness,True,False,0.2060943340523956
6,XOR,stiffness,True,False,0.26947742500474264
7,XOR,stiffness,True,False,0.15220137975111936
8,XOR,stiffness,True,False,0.2686282856776878
9,XOR,stiffness,True,False,0.22764810975329108
10,XOR,stiffness,True,False,0.21594097337596696
11,XOR,stiffness,True,False,0.15301834924097946
12,XOR,stiffness,True,False,0.21924551260764272
13,XOR,stiffness,True,False,0.2181896320580133
14,XOR,stiffness,True,False,0.2295797166665012
15,XOR,stiffness,True,False,0.22961308495147145
16,XOR,stiffness,True,False,0.1469518096162919
17,XOR,stiffness,True,False,0.15937069519018168
18,XOR,stiffness,True,False,0.22897542663753645
19,XOR,stiffness,True,False,0.24773411378594973
20,XOR,stiffness,True,False,0.14714998349888875
21,XOR,stiffness,True,False,0.16187271042638177
22,XOR,stiffness,True,False,0.21018720978907623
23,XOR,stiffness,True,False,0.23227804699060847
24,XOR,stiffness,True,False,0.22809388254902838
25,XOR,stiffness,True,False,0.22027699560976638
26,XOR,stiffness,True,False,0.22533561706088812
27,XOR,stiffness,True,False,0.24150597843032867
28,XOR,stiffness,True,False,0.1986016260310565
29,XOR,stiffness,True,False,0.2297983628218502
0,XOR,stiffness,True,True,4.443032892460859
1,XOR,stiffness,True,True,3.0703204712927796
2,XOR,stiffness,True,True,1.8763022593523992
3,XOR,stiffness,True,True,1.1023831398976132
4,XOR,stiffness,True,True,2.7646207023747156
5,XOR,stiffness,True,True,3.3040435039305946
6,XOR,stiffness,True,True,1.050220996454467
7,XOR,stiffness,True,True,3.065696405109707
8,XOR,stiffness,True,True,1.9334893229401366
9,XOR,stiffness,True,True,3.057782736860704
10,XOR,stiffness,True,True,3.1995075545255705
11,XOR,stiffness,True,True,2.1709769528135188
12,XOR,stiffness,True,True,5.904752780757882
13,XOR,stiffness,True,True,1.0477978086358437
14,XOR,stiffness,True,True,3.201492252049159
15,XOR,stiffness,True,True,5.54833946851852
16,XOR,stiffness,True,True,2.7848638772608703
17,XOR,stiffness,True,True,1.9264599090446766
18,XOR,stiffness,True,True,3.3242664238967894
19,XOR,stiffness,True,True,1.3806580307957452
20,XOR,stiffness,True,True,3.844599011440323
21,XOR,stiffness,True,True,3.0932315162371715
22,XOR,stiffness,True,True,6.1556296850978445
23,XOR,stiffness,True,True,3.336225159285841
24,XOR,stiffness,True,True,5.748149622089099
25,XOR,stiffness,True,True,5.6072177180677665
26,XOR,stiffness,True,True,2.2601181274970026
27,XOR,stiffness,True,True,5.628404445365959
28,XOR,stiffness,True,True,7.351917919793812
29,XOR,stiffness,True,True,1.868560568500931
0,OR,stiffness,True,False,0.8585093947692319
1,OR,stiffness,True,False,0.8585289902122
2,OR,stiffness,True,False,0.8570622196004725
3,OR,stiffness,True,False,0.8582928416717323
4,OR,stiffness,True,False,0.8577455771446145
5,OR,stiffness,True,False,0.8585453480474574
6,OR,stiffness,True,False,0.8598285776105687
7,OR,stiffness,True,False,0.8492201672456918
8,OR,stiffness,True,False,0.8590747926337513
9,OR,stiffness,True,False,0.8594484545507263
10,OR,stiffness,True,False,0.8560338796536606
11,OR,stiffness,True,False,0.8583399868668429
12,OR,stiffness,True,False,0.8577273981094826
13,OR,stiffness,True,False,0.8588171662435212
14,OR,stiffness,True,False,0.860345314903974
15,OR,stiffness,True,False,0.8599670721317246
16,OR,stiffness,True,False,0.8547634015777991
17,OR,stiffness,True,False,0.8588158200656929
18,OR,stiffness,True,False,0.8587574166125751
19,OR,stiffness,True,False,0.856662993311815
20,OR,stiffness,True,False,0.8589727511985685
21,OR,stiffness,True,False,0.8595830344258117
22,OR,stiffness,True,False,0.8574289011476817
23,OR,stiffness,True,False,0.8585846649647807
24,OR,stiffness,True,False,0.8568613551255319
25,OR,stiffness,True,False,0.8592254925214663
26,OR,stiffness,True,False,0.8547367327338821
27,OR,stiffness,True,False,0.8581783882258524
28,OR,stiffness,True,False,0.8599120618540734
29,OR,stiffness,True,False,0.8562519387820154
0,OR,stiffness,True,True,27.750476932983045
1,OR,stiffness,True,True,29.536343973209956
2,OR,stiffness,True,True,32.103933594611505
3,OR,stiffness,True,True,27.919634852207377
4,OR,stiffness,True,True,31.126470771493377
5,OR,stiffness,True,True,29.916106494423662
6,OR,stiffness,True,True,31.696704511224354
7,OR,stiffness,True,True,31.08935116017167
8,OR,stiffness,True,True,28.855847690738436
9,OR,stiffness,True,True,29.722459820937154
10,OR,stiffness,True,True,31.164221970351697
11,OR,stiffness,True,True,30.99045091059434
12,OR,stiffness,True,True,27.64841347369526
13,OR,stiffness,True,True,29.32685099589516
14,OR,stiffness,True,True,31.14176422627131
15,OR,stiffness,True,True,26.2962638577686
16,OR,stiffness,True,True,29.920091605903103
17,OR,stiffness,True,True,27.97310835257095
18,OR,stiffness,True,True,27.350582565099057
19,OR,stiffness,True,True,27.725303382152568
20,OR,stiffness,True,True,26.960857098773616
21,OR,stiffness,True,True,28.69491175930437
22,OR,stiffness,True,True,31.822492682915602
23,OR,stiffness,True,True,27.705034542040362
24,OR,stiffness,True,True,27.124848348595705
25,OR,stiffness,True,True,31.40865347345842
26,OR,stiffness,True,True,29.591336784877484
27,OR,stiffness,True,True,30.61055716940707
28,OR,stiffness,True,True,27.054521020458434
29,OR,stiffness,True,True,26.329924313058985
0,AND,stiffness,True,False,1.1313662982132078
1,AND,stiffness,True,False,1.131366666805019
2,AND,stiffness,True,False,1.1313286851465354
3,AND,stiffness,True,False,1.131349069606493
4,AND,stiffness,True,False,1.1313596492998967
5,AND,stiffness,True,False,1.131406397525704
6,AND,stiffness,True,False,1.13133795098371
7,AND,stiffness,True,False,1.1164178298374554
8,AND,stiffness,True,False,1.122977023583718
9,AND,stiffness,True,False,1.1287139650853062
10,AND,stiffness,True,False,1.1314013611421638
11,AND,stiffness,True,False,1.1312972478868975
12,AND,stiffness,True,False,1.1311894789714652
