seed,gate,encoding,stiffness,size,fitness_gen_100
0,XOR,size,False,True,0.2562153802942942
1,XOR,size,False,True,0.2567092847312415
2,XOR,size,False,True,0.19910473571266335
3,XOR,size,False,True,0.10364890643472792
4,XOR,size,False,True,0.256538537044525
5,XOR,size,False,True,0.2433383567878719
6,XOR,size,False,True,0.25605323152553106
7,XOR,size,False,True,0.25642959686005123
8,XOR,size,False,True,0.2562580573741251
9,XOR,size,False,True,0.24323091729436194
0,XOR,size,True,True,0.9099206094149496
1,XOR,size,True,True,1.0945109694788302
2,XOR,size,True,True,0.4658110386887883
3,XOR,size,True,True,1.0549297735234175
4,XOR,size,True,True,1.1152743078116552
5,XOR,size,True,True,4.510784211621563
6,XOR,size,True,True,4.187928659843433
7,XOR,size,True,True,0.4652618028268189
8,XOR,size,True,True,0.8339543364838343
9,XOR,size,True,True,0.7580656533646691
0,OR,size,False,True,7.391162532885927
1,OR,size,False,True,6.688374433113371
2,OR,size,False,True,7.110589496558731
3,OR,size,False,True,6.7698297027038015
4,OR,size,False,True,6.992210511634074
5,OR,size,False,True,7.101420895551182
6,OR,size,False,True,6.889745251435041
7,OR,size,False,True,6.832289275099151
8,OR,size,False,True,7.079009424967786
9,OR,size,False,True,6.5908408267999485
0,OR,size,True,True,8.761697658405772
1,OR,size,True,True,30.917283740792946
2,OR,size,True,True,30.246553899503247
3,OR,size,True,True,12.362928983641783
4,OR,size,True,True,3.1357047226843675
5,OR,size,True,True,28.50654968661992
6,OR,size,True,True,26.36016432439732
7,OR,size,True,True,27.46439752248366
8,OR,size,True,True,29.937943944157247
9,OR,size,True,True,31.32288088627732
0,AND,size,False,True,1.106286269231
1,AND,size,False,True,1.106286269231
2,AND,size,False,True,1.1029840045386963
3,AND,size,False,True,1.106286269231
4,AND,size,False,True,1.106286269231
5,AND,size,False,True,1.106286269231
6,AND,size,False,True,1.106286269231
7,AND,size,False,True,1.106286269231
8,AND,size,False,True,1.106286269231
9,AND,size,False,True,1.106286269231
0,AND,size,True,True,3.485626743475839
1,AND,size,True,True,4.48210418112126
